0422_5,10.844,1.1365,-1.83694,-1.58711,8.64189,14.46802,2
0422_5,11.01,1.39766,-1.70867,-1.52758,8.53372,14.30148,2
0422_5,11.175,1.40875,-1.82548,-1.61055,8.43824,14.14388,2
0422_5,11.341,1.21934,-1.99635,-1.79912,8.35849,14.07623,2
0422_5,11.506,1.19534,-1.95425,-1.94767,8.27488,13.94799,2
0422_5,11.672,1.20437,-2.00307,-1.90026,8.18188,13.72931,2
0422_5,11.837,1.15818,-2.19661,-1.78938,8.12835,13.63301,2
0422_5,12.003,0.93908,-2.30321,-1.91843,8.0337,13.49373,2
0422_5,12.168,0.77108,-2.37594,-1.94582,7.94512,13.39296,2
0422_5,12.334,0.67354,-2.49575,-1.98717,7.87337,13.30488,2
0422_5,12.499,0.53831,-2.75429,-1.74171,7.79583,13.21022,2
0422_5,12.665,0.35045,-2.86388,-1.96373,7.72464,13.0747,2
0422_5,12.831,0.15664,-2.92416,-2.10201,7.67469,12.97323,2
